Abdominal Aortic Aneurism	CV01
Aneurism	CV02
Aortic Regurgitation	CV03
Aortic Stenosis	CV04
Arteritis, Unspecified	CV05
Atherosclerosis	CV06
Atrial Fibrillation	CV07
Atrial Fibrillation, Paroxysmal	CV08
AV Block	CV09
Cardiomegaly	CV10
Cardiomyopathy	CV11
Cardiovascular Disease, Unspecific	CV12
Cerebro-Vascular Accident	CV13
Chagas	CV14
Conduction Disorders	CV15
Cor Pulmonale	CV16
Deep Vein Thrombosis	CV17
Dehydration	CV18
Dextrocardia	CV19
Dysrythmia	CV20
Endocarditis	CV21
Haemorrhage	CV22
Haemorrhoids	CV23
Heart Failure	CV24
Hemopericardium	CV25
Hyperlipidemia	CV26
Hypertension	CV27
Hypotension	CV28
Intra-Cerebral Hemmorhage	CV29
Left Bundle Branch Block	CV30
Mitral Valve Disease	CV31
Myocardial Infarction	CV32
Naevus, Non-Neoplastic	CV33
Orthostatic Hypotension	CV34
Other Heart Block	CV35
Other Heart Problem	CV36
Pacemaker	CV37
Pericarditis	CV38
Peripheral Vascular Disease	CV39
Phlebitis	CV40
Portal Vein Thrombosis	CV41
Pulmonary Embolism	CV42
Pulmonary Hypertension	CV43
Renal Artery Stenosis	CV44
Reynaud's Syndrome	CV45
Right Bundle Branch Block	CV46
Rheumatic Fever	CV47
Sub-Arachnoid Hemmorhage	CV48
Temporal Arteritis	CV49
Tricuspid Valve Disease	CV50
Valve Replacement	CV51
Anencephallus	CA01
Blindness, Complete	CA02
Blindness, Color	CA03
Blindness, Sees Light and Dark	CA04
Blindness, Sees Shapes	CA05
Choanal Atresia	CA06
Cleft Lip	CA07
Cleft Palate	CA08
Congenital Catract	CA09
Congenital Heart Anomaly	CA10
Deformity	CA11
Digestive Tract Anomaly	CA12
Genital Abnormalities	CA13
Hearing Impairment, Total	CA14
Hearing Impairment, Partial	CA15
Hirschsprung's Disease	CA16
Hydrocephalus	CA17
Hypospadius or Epispadias	CA18
Indeterminate Sex	CA19
Lung Abnormality	CA20
Meckel's Diverticulum	CA21
Micropthalmus	CA22
Other Congenital Anomaly	CA23
Patent Ductus Arteriosis	CA24
Polydactyly	CA25
Spina Bifida	CA26
Spine Abnormality	CA27
Syndactyly	CA28
Tetralogy Of Fallot	CA29
Lower Limb Reduction Deformity	CA30
Upper Limb Reduction Deformity	CA31
Lung Abnormality	CA32
Tongue Tie	CA33
Traceho-Esophageal Fistula	CA34
Transposition of Great Arteries	CA35
Webbing of Neck	CA36
Anemia, Iron-Deficient	HM01
Anemia, Pernicious 	HM02
Anemia, Sickle-Cell 	HM03
Anemia, Unspecified	HM04
Coagulation Defect	HM05
Eosinophelia	HM06
Hemmorhagic Condition	HM07
HIV	HM08
Hypersplenism	HM09
Malaria	HM10
Purpura, Allergic	HM11
Sepsis	HM12
Thrombocytopenia	HM13
Vitamin K Deficiency	HM14
Abuse, History of	MH01
Acute Confusional State	MH02
Acute Mania	MH03
Alcoholic Psychosis	MH04
Alcohol Abuse	MH05
Anorexia	MH06
Anxiety, Acute	MH07
Anxiety, Chronic	MH08
Autism	MH09
Bi-Polar	MH10
